id_servicios,Cuestionario
25,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""3"",""Pregunta_5"":""4"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Tienen muy buen servicio al estudiante solo falta estar un poco m\u00e1s atentos al maestro que nos dejen tareas, que nos califiquen pero de ah\u00ed todo lo dem\u00e1s excelente.""}"
26,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Es un personal muy profesional y hasta ahorita est\u00e1n a la dispocicion de escuchar a los alumnos ""}"
27,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""2"",""Pregunta_5"":""4"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""1"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Escribe aqu\u00ed tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario)""}"
28,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""3"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""El personal administrativo es amable, responsable con los alumnos y siempre estan atentos cuando requerimos comunicarnos con ellos.""}"
29,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""3"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Nunca he tenido ningun problema con lo administrativo ni su personal.""}"
30,"{""Pregunta_1"":""3"",""Pregunta_2"":""3"",""Pregunta_3"":""4"",""Pregunta_4"":""3"",""Pregunta_5"":""4"",""Pregunta_6"":""3"",""Pregunta_7"":""3"",""Pregunta_8"":""3"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Escribe aqu\u00ed tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario)""}"
31,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""1"",""Pregunta_5"":""4"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Escribe aqu\u00ed tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario)""}"
32,"{""Pregunta_1"":""3"",""Pregunta_2"":""3"",""Pregunta_3"":""3"",""Pregunta_4"":""3"",""Pregunta_5"":""3"",""Pregunta_6"":""3"",""Pregunta_7"":""3"",""Pregunta_8"":""3"",""Pregunta_9"":""3"",""Pregunta_10"":""3"",""comentario"":""Escribe aqu\u00ed tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario)""}"
33,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""3"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Escribe aqu\u00ed tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario)""}"
34,"{""Pregunta_1"":""2"",""Pregunta_2"":""2"",""Pregunta_3"":""2"",""Pregunta_4"":""4"",""Pregunta_5"":""3"",""Pregunta_6"":""3"",""Pregunta_7"":""4"",""Pregunta_8"":""2"",""Pregunta_9"":""2"",""Pregunta_10"":""2"",""comentario"":""Escribe aqu\u00ed tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario)""}"
