,Pregunta_1,Pregunta_2,Pregunta_3,Pregunta_4,Pregunta_5,Pregunta_6,Pregunta_7,Pregunta_8,Pregunta_9,Pregunta_10,comentario
71,4,4,4,4,4,4,4,4,3,4,"Me agrada mucho la universidad, y el rato que recibimos del personal en general."
72,4,4,4,4,4,4,4,4,4,4,"En su mayoría, las consultas que realice fueron vía correo electrónico y recibí una rápida respuesta."
73,3,3,3,3,3,3,3,3,3,3, 
74,4,4,4,4,4,4,4,4,4,4,"Los compañeros son muy deedicados , muy amables , simpátics , respetuosos y atienden Muy bienn🥰 gracias "
75,4,4,3,3,4,3,4,4,3,4, 
76,4,4,4,4,4,3,4,4,4,4, 
77,4,4,3,3,4,4,4,4,4,4, 
78,4,4,4,4,4,4,4,4,4,4, 
79,4,4,4,4,4,4,4,4,4,4, 
80,3,3,3,4,4,3,3,3,2,3, 
81,4,4,4,3,4,4,4,4,4,4, 
82,4,4,4,3,4,4,4,4,4,4, 
83,4,3,3,4,4,4,4,4,3,3, 
84,4,4,4,4,3,4,4,4,4,4, 
85,4,4,3,3,4,3,3,3,3,4, 
86,4,4,4,4,3,4,4,4,4,4,"El personal siempre está disponible ante cualquier  duda que surge, siempre con soluciones de acuerdo a nuestras posibilidades, amables y atentos!"
87,4,4,4,4,4,4,4,4,4,4,No tengo ninguna queja con el tipo de servicio recibido gracias
88,4,3,3,3,4,4,4,3,3,3,"El personal administrativo y demás te ayuda con tus problemas en entender algunas cosas y si te atiende, de forma formal. "
89,4,4,4,4,4,4,4,4,4,4, 
90,4,3,3,3,2,3,3,2,3,4,"Necesitamosnmas mas apoyo para la elavoracion de practicas por parte de la institucion asi como equipo, material para realizarlas "
91,3,4,4,4,3,4,4,4,4,4,"Sin comentarios.
Todo bien!!!"
92,4,4,4,4,4,4,4,4,4,4, 
93,4,4,4,4,3,4,4,4,4,4,"El personal administrativo en lo personal siempre resolvían dudas y atendían cada pregunta o comentario que se nos presentará. Están administrados de tal manera que cada área es atendida adecuadamente respecto a cualquier duda o en su caso inconveniente que se nos presentará, siempre muy atentos y respetuosos. "
94,3,3,2,3,3,4,4,3,3,4,"Son atentos, pero no estaría mal brindar más atención a los estudiantes."
95,4,4,4,4,3,3,4,4,3,3, 
96,4,4,4,4,3,4,4,4,4,4,Muy eficaces
97,4,4,2,3,4,4,4,3,2,4,"Le doy las gracias por tomar en cuenta la opinión de los alumnos.
Una cosa que quiero mencionar, es que tengan maestros preparados y que amen su profesión y no nada más por el dinero, tuve una mala experiencia con una maestra que me reprobó, según ella yo no estaba en la plataforma, cuando si estaba y entregue los trabajos a tiempo.  Solo que tomen en cuenta que es una universidad privada, en donde el alumno debe de recibir el mejor trato."
98,4,4,3,3,4,3,3,4,3,4, 
99,3,4,3,3,3,3,3,3,3,3, 
100,3,4,2,4,2,2,2,2,2,4, 
